番号,学年,単語,意味,番号,学年,単語,意味
1,中学1年,a,1つの,1,中学2年,abroad,外国で
2,中学1年,able,できる，有能な,2,中学2年,absent,欠席の
3,中学1年,afternoon,午後,3,中学2年,accident,事故、偶然
4,中学1年,again,再び,4,中学2年,add,加える
5,中学1年,age,年齢，時代,5,中学2年,advertise,宣伝する
6,中学1年,ago,前,6,中学2年,advice,忠告
7,中学1年,all,すべての,7,中学2年,advise,忠告する，助言する
8,中学1年,already,すでに,8,中学2年,afraid,恐れて
9,中学1年,also,もまた,9,中学2年,again,"再び, また"
10,中学1年,always,いつも,10,中学2年,against,反対して
11,中学1年,America,アメリカ合衆国,11,中学2年,ago,～前に
12,中学1年,an,1つの,12,中学2年,agree,賛成する
13,中学1年,and,～と、そして,13,中学2年,air,空気
14,中学1年,angry,怒った,14,中学2年,airport,空港
15,中学1年,animal,動物,15,中学2年,album,アルバム
16,中学1年,apple,りんご,16,中学2年,alien,異星人
17,中学1年,April,４月,17,中学2年,almost,ほとんど
18,中学1年,arrive,到着する,18,中学2年,alone,ただひとりの
19,中学1年,at,～に,19,中学2年,also,…もまた
20,中学1年,August,８月,20,中学2年,always,いつも
21,中学1年,aunt,おば,21,中学2年,America,アメリカ
22,中学1年,Australia,オーストラリア,22,中学2年,American,アメリカの
23,中学1年,autumn,秋,23,中学2年,angry,怒って
24,中学1年,bad,悪い,24,中学2年,animal,動物
25,中学1年,bag,カバン,25,中学2年,another,もう1つの
26,中学1年,ball,ボール,26,中学2年,answer,答える
27,中学1年,bank,銀行，土手,27,中学2年,anyone,だれか
28,中学1年,bank (embankment),土手,28,中学2年,anything,何でも
29,中学1年,baseball,野球,29,中学2年,anywhere,どこへでも
30,中学1年,basketball,バスケットボール,30,中学2年,arm,腕
31,中学1年,bat,バット,31,中学2年,art,美術，芸術
32,中学1年,beautiful,美しい,32,中学2年,as,…として
33,中学1年,bed,ベッド,33,中学2年,Asia,アジア
34,中学1年,best,一番良い,34,中学2年,ask,たずねる，頼む
35,中学1年,big,大きい,35,中学2年,baby,赤ん坊
36,中学1年,bike,自転車,36,中学2年,bad,悪い
37,中学1年,bird,鳥,37,中学2年,ball,ボール
38,中学1年,birthday,誕生日,38,中学2年,ballpark,野球場
39,中学1年,black,黒い,39,中学2年,band,バンド
40,中学1年,blue,青い,40,中学2年,bar,棒，横木
41,中学1年,boat,ボート,41,中学2年,bar ※not nightclub,棒，横木
42,中学1年,book,本,42,中学2年,bath,風呂
43,中学1年,both,両方,43,中学2年,beach,浜
44,中学1年,box,箱,44,中学2年,bear,クマ
45,中学1年,boy,少年,45,中学2年,became,…になった
46,中学1年,bread,パン,46,中学2年,because,なぜならば…だから
47,中学1年,breakfast,朝食,47,中学2年,become,～になる
48,中学1年,brother,兄弟,48,中学2年,beef,牛肉
49,中学1年,bus,バス,49,中学2年,beer,ビール
50,中学1年,busy,忙しい,50,中学2年,began,始めた、始まった
51,中学1年,but,しかし,51,中学2年,begin,始まる(める)
52,中学1年,buy,買う,52,中学2年,believe,信じる
53,中学1年,by,～のそばに、～よって,53,中学2年,bell,ベル
54,中学1年,cake,ケーキ,54,中学2年,belt,ベルト
55,中学1年,camera,カメラ,55,中学2年,bench,ベンチ
56,中学1年,can,～できる、してもよい,56,中学2年,best wishes,手紙などの結びことば
57,中学1年,Canada,カナダ,57,中学2年,better,よりよい
58,中学1年,cap,帽子,58,中学2年,bicycle,自転車
59,中学1年,car,自動車,59,中学2年,birthday,誕生日
60,中学1年,careful,注意深い,60,中学2年,black,黒い
61,中学1年,cat,猫,61,中学2年,blue,青い
62,中学1年,catch,捕まえる，(列車に)間に合う,62,中学2年,body,身体
63,中学1年,chair,いす,63,中学2年,book,本
64,中学1年,chance,機会,64,中学2年,boring,退屈な
65,中学1年,church,教会,65,中学2年,borrow,借りる
66,中学1年,citizen,市民,66,中学2年,bought,買った
67,中学1年,city,市，都会,67,中学2年,boy,男の子
68,中学1年,class,学級，授業,68,中学2年,break,折る
69,中学1年,clean,きれいな,69,中学2年,bridge,橋
70,中学1年,clerk,店員,70,中学2年,bright,明るい
71,中学1年,cold,冷たい，寒い,71,中学2年,bring,持って来る
72,中学1年,collect,集める,72,中学2年,broke,折た
73,中学1年,color,色,73,中学2年,brought,持ってきた
74,中学1年,come,来る,74,中学2年,brown,茶色の
75,中学1年,computer,コンピュータ,75,中学2年,build,建てる
76,中学1年,cook,料理人,76,中学2年,building,建物
77,中学1年,cool,涼しい,77,中学2年,business,商売
78,中学1年,country,国，いなか，地方,78,中学2年,butter,バター
79,中学1年,cow,雌牛,79,中学2年,buy,買う
80,中学1年,cup,カップ,80,中学2年,call,電話をかける
81,中学1年,dance,踊る,81,中学2年,camp,キャンプ
82,中学1年,danger,危険,82,中学2年,candle,ろうそく
83,中学1年,dark,暗い，黒い,83,中学2年,candy,キャンディー
84,中学1年,date,日付,84,中学2年,capital,首都
85,中学1年,daughter,娘,85,中学2年,card,カード
86,中学1年,day,日,86,中学2年,care,気にする
87,中学1年,December,１２月,87,中学2年,carpet,じゅうたん
88,中学1年,desk,机,88,中学2年,carry,運ぶ
89,中学1年,diary,日記,89,中学2年,catch,つかまえる
90,中学1年,did,doの過去形,90,中学2年,caught,つかまえた
91,中学1年,dinner,夕食,91,中学2年,center,中央
92,中学1年,do,する,92,中学2年,chain,くさり
93,中学1年,doctor,医者,93,中学2年,chalk,チョーク
94,中学1年,does,３人称単数,94,中学2年,change,変わる
95,中学1年,dog,犬,95,中学2年,character,登場人物
96,中学1年,doll,人形,96,中学2年,chicken,ニワトリ
97,中学1年,door,ドア,97,中学2年,child,子供
98,中学1年,dream,夢,98,中学2年,children,子供たち
99,中学1年,drink,飲む,99,中学2年,choose,選ぶ
100,中学1年,early,早い,100,中学2年,Christmas,クリスマス
101,中学1年,east,東,101,中学2年,church,教会
102,中学1年,easy,やさしい，気楽に,102,中学2年,circle,円
103,中学1年,eat,食べる,103,中学2年,classroom,教室
104,中学1年,egg,卵,104,中学2年,clean,掃除する
105,中学1年,eight,8,105,中学2年,clever,利口な
106,中学1年,eighteen,18,106,中学2年,climb,登る
107,中学1年,eighty,80,107,中学2年,clock,置き時計
108,中学1年,eleven,11,108,中学2年,close,閉じる
109,中学1年,English,英語,109,中学2年,cloth,布
110,中学1年,enjoy,楽しむ,110,中学2年,clothes,服
111,中学1年,evening,晩,111,中学2年,cloud,雲
112,中学1年,every,毎～,112,中学2年,cloudy,曇った
113,中学1年,everybody,だれでもみな,113,中学2年,club,クラブ
